Category,Retailer,Week,Year,Date,Ordered (Units),Dispatched (Units),Order ($),Dispatched ($),Inventory Total(Units)
Condiments,Ahold & Delhaize,1,2020,1/6/2020,70466,70382,156732.78,156505.89,467986
Condiments,Ahold & Delhaize,2,2020,1/13/2020,147446,127560,320826,297952.559,500087
Condiments,Ahold & Delhaize,3,2020,1/20/2020,293224,264712,779300.81,722176.094,618105
Condiments,Ahold & Delhaize,4,2020,1/27/2020,95026,75250,184181.01,169560.965,588191
Condiments,Ahold & Delhaize,5,2020,2/3/2020,109426,86390,238630.5,202727.87,582341
Condiments,Ahold & Delhaize,6,2020,2/10/2020,80418,64800,128405.13,112948.135,541635
Condiments,Ahold & Delhaize,7,2020,2/17/2020,45824,37352,63610.14,55066.49,478759
Condiments,Ahold & Delhaize,8,2020,2/24/2020,149550,141528,436251.33,414208.213,491605
Condiments,Ahold & Delhaize,9,2020,3/2/2020,135672,121470,301111.21,289765.968,518982
Condiments,Ahold & Delhaize,10,2020,3/9/2020,191318,182504,482104.07,467636.838,523598
Condiments,Ahold & Delhaize,11,2020,3/16/2020,131884,102046,347275.9,286278.567,436893
Condiments,Ahold & Delhaize,12,2020,3/23/2020,142078,124546,396297.12,378169.636,331859
Condiments,Ahold & Delhaize,13,2020,3/30/2020,165024,131664,463402.67,371025.716,356131
Condiments,Ahold & Delhaize,14,2020,4/6/2020,174042,111480,392494.66,283203.405,331227
Condiments,Ahold & Delhaize,15,2020,4/13/2020,423447,147735,1171531.94,348428.692,334876
Condiments,Ahold & Delhaize,16,2020,4/20/2020,247596,198972,700265.58,564323.16,411739
Condiments,Ahold & Delhaize,17,2020,4/27/2020,147612,101268,384587.08,269123.007,339040
Condiments,Ahold & Delhaize,18,2020,5/4/2020,217098,163590,596751.46,466811.875,399595
Condiments,Ahold & Delhaize,19,2020,5/11/2020,212040,154740,548070.93,426514.591,377612
Condiments,Ahold & Delhaize,20,2020,5/18/2020,618018,461940,1874962.35,1424329.178,660716
Condiments,Ahold & Delhaize,21,2020,5/25/2020,299338,176950,854721.06,470577.221,664685
Condiments,Ahold & Delhaize,22,2020,6/1/2020,207036,149196,601655.53,435309.264,634654
Condiments,Ahold & Delhaize,23,2020,6/8/2020,101480,54428,212376.83,113255.512,543647
Condiments,Ahold & Delhaize,24,2020,6/15/2020,80188,54784,170140.23,124762.807,438968
Condiments,Ahold & Delhaize,25,2020,6/22/2020,199746,156300,493472.33,400768.568,
Condiments,Ahold & Delhaize,26,2020,6/29/2020,146614,114366,399554.66,360802.59,
Condiments,CVS,1,2020,1/6/2020,324,324,639.91,639.91,38458
Condiments,CVS,2,2020,1/13/2020,24597,24501,110337.94,110274.77,53250
Condiments,CVS,3,2020,1/20/2020,20226,20202,90504.73,90373.4,71402
Condiments,CVS,4,2020,1/27/2020,45450,45450,214864.65,214864.65,101295
Condiments,CVS,5,2020,2/3/2020,1500,972,2253.96,1717.91,11724
Condiments,CVS,6,2020,2/10/2020,3456,3384,14611.07,14563.85,10300
Condiments,CVS,7,2020,2/17/2020,3162,1194,3022.09,2660.14,8160
Condiments,CVS,8,2020,2/24/2020,1664,896,2152.28,1648.71,7786
Condiments,CVS,9,2020,3/2/2020,1290,1050,3201.7,3044.05,7122
Condiments,CVS,10,2020,3/9/2020,1870,1576,3689.37,2090.47,5380
Condiments,CVS,11,2020,3/16/2020,4620,4620,11262.3,11262.3,5380
Condiments,CVS,12,2020,3/23/2020,300,300,1006.66,1006.66,2762
Condiments,CVS,13,2020,3/30/2020,7971,7956,30430.18,30364.4,1328
Condiments,CVS,14,2020,4/6/2020,39314,25934,163164.13,110412.733,7007
Condiments,CVS,15,2020,4/13/2020,52987,20902,221055.53,89432.252,31813
Condiments,CVS,16,2020,4/20/2020,30278,12644,114220.25,50167.289,32751
Condiments,CVS,17,2020,4/27/2020,26928,8148,122582.22,34510.719,30259
Condiments,CVS,18,2020,5/4/2020,12339,8151,37277.21,33761.815,38492
Condiments,CVS,19,2020,5/11/2020,18312,8832,46430.85,31948.965,43572
Condiments,CVS,20,2020,5/18/2020,4836,576,3041.42,1258.35,37100
Condiments,CVS,21,2020,5/25/2020,20299,3007,92413.45,9617.626,32973
Condiments,CVS,22,2020,6/1/2020,17358,12312,54573.3,51524.556,37706
Condiments,CVS,23,2020,6/8/2020,15420,12720,56899.09,53688.173,42782
Condiments,CVS,24,2020,6/15/2020,8766,2742,21734.96,10152.582,42584
Condiments,CVS,25,2020,6/22/2020,23505,3303,94023.33,12262.867,
Condiments,CVS,26,2020,6/29/2020,10078,7192,32102.81,30627.018,
Condiments,Dollar General,1,2020,1/6/2020,2700,2700,7425,7425,537136
Condiments,Dollar General,2,2020,1/13/2020,23688,23688,56473.2,56473.2,492613
Condiments,Dollar General,3,2020,1/20/2020,22668,26028,75400.2,75400.2,451453
Condiments,Dollar General,4,2020,1/27/2020,56544,56544,174858.12,174858.12,430846
Condiments,Dollar General,5,2020,2/3/2020,91464,91464,271025.64,271025.64,437558
Condiments,Dollar General,6,2020,2/10/2020,72624,72624,215170.8,215170.8,433085
Condiments,Dollar General,7,2020,2/17/2020,76764,76764,228353.64,228353.64,458997
Condiments,Dollar General,8,2020,2/24/2020,76680,73698,233864.88,225605.16,488755
Condiments,Dollar General,9,2020,3/2/2020,61608,60588,185635.2,182677.2,469894
Condiments,Dollar General,10,2020,3/9/2020,72084,71964,214177.68,208957.68,479061
Condiments,Dollar General,11,2020,3/16/2020,38616,37644,116807.16,111074.4,415130
Condiments,Dollar General,12,2020,3/23/2020,189756,172704,615791.28,558533.64,430933
Condiments,Dollar General,13,2020,3/30/2020,85896,87660,260623.08,256495.44,633150
Condiments,Dollar General,14,2020,4/6/2020,88332,76932,245783.76,222614.76,385807
Condiments,Dollar General,15,2020,4/13/2020,90168,85365,245987.76,221271.42,332178
Condiments,Dollar General,16,2020,4/20/2020,104460,113676,352325.28,337408.56,323260
Condiments,Dollar General,17,2020,4/27/2020,115560,113736,352151.76,345804.48,381776
Condiments,Dollar General,18,2020,5/4/2020,55632,54636,147321.6,144433.2,348391
Condiments,Dollar General,19,2020,5/11/2020,198204,194100,630488.64,618587.04,365094
Condiments,Dollar General,20,2020,5/18/2020,189912,182052,598762.2,577234.2,544405
Condiments,Dollar General,21,2020,5/25/2020,489168,427368,1570531.92,1377301.92,772811
Condiments,Dollar General,22,2020,6/1/2020,329556,327756,1072433.76,1067213.76,1060051
Condiments,Dollar General,23,2020,6/8/2020,189564,188616,607751.04,605072.4,1222000
Condiments,Dollar General,24,2020,6/15/2020,44772,42972,131538.72,131538.72,1159192
Condiments,Dollar General,25,2020,6/22/2020,50076,47718,148415.76,141241.56,
Condiments,Dollar General,26,2020,6/29/2020,69984,56082,199582.68,159266.88,
Condiments,Family Dollar,1,2020,1/6/2020,1680,1680,5327.82,5327.82,122083
Condiments,Family Dollar,2,2020,1/13/2020,11088,11088,24646.72,24646.72,112190
Condiments,Family Dollar,3,2020,1/20/2020,19572,19572,57313.1,57313.1,102856
Condiments,Family Dollar,4,2020,1/27/2020,21060,20556,56991.77,56009.35,105455
Condiments,Family Dollar,5,2020,2/3/2020,17976,17220,57081.14,55607.51,102494
Condiments,Family Dollar,6,2020,2/10/2020,24420,24228,73184.42,72810.165,99492
Condiments,Family Dollar,7,2020,2/17/2020,20160,19656,64093.48,63111.064,98985
Condiments,Family Dollar,8,2020,2/24/2020,23184,18144,65855.16,56031,103100
Condiments,Family Dollar,9,2020,3/2/2020,20496,15456,57860.4,48036.24,91495
Condiments,Family Dollar,10,2020,3/9/2020,25956,21918,75391.26,67520.237,96839
Condiments,Family Dollar,11,2020,3/16/2020,45696,33864,123512.42,97693.835,93194
Condiments,Family Dollar,12,2020,3/23/2020,27300,18756,79388.63,50788.58,69220
Condiments,Family Dollar,13,2020,3/30/2020,42672,38436,121750.75,107983.376,72996
Condiments,Family Dollar,14,2020,4/6/2020,19740,16380,60519.58,48459.74,77651
Condiments,Family Dollar,15,2020,4/13/2020,36540,28884,91889.21,74210.639,52198
Condiments,Family Dollar,16,2020,4/20/2020,19488,17226,43497.17,39087.991,68229
Condiments,Family Dollar,17,2020,4/27/2020,45780,44166,153983.39,149430.196,82207
Condiments,Family Dollar,18,2020,5/4/2020,22428,20916,60248.74,54831.648,80220
Condiments,Family Dollar,19,2020,5/11/2020,32340,32316,93345.62,93298.838,95285
Condiments,Family Dollar,20,2020,5/18/2020,22680,17640,64872.74,55048.58,101181
Condiments,Family Dollar,21,2020,5/25/2020,23520,21840,76153.32,70123.4,102312
Condiments,Family Dollar,22,2020,6/1/2020,89040,83076,265859.5,254234.231,139441
Condiments,Family Dollar,23,2020,6/8/2020,47460,41610,151747.71,134834.257,162680
Condiments,Family Dollar,24,2020,6/15/2020,41520,31890,111239.62,78643.242,166712
Condiments,Family Dollar,25,2020,6/22/2020,39900,39900,137011.46,137011.46,
Condiments,Family Dollar,26,2020,6/29/2020,52500,52470,178103.08,178044.603,
Condiments,HEB,1,2020,1/6/2020,242532,225036,415811.73,391576.976,0
Condiments,HEB,2,2020,1/13/2020,265176,268800,391914.05,379594.048,115703
Condiments,HEB,3,2020,1/20/2020,352968,349716,658758.16,650195.586,119172
Condiments,HEB,4,2020,1/27/2020,314892,287658,524739.92,455085.486,153267
Condiments,HEB,5,2020,2/3/2020,313938,294966,498389.91,473503.564,119377
Condiments,HEB,6,2020,2/10/2020,322656,307626,613260,561680.158,102703
Condiments,HEB,7,2020,2/17/2020,195300,187440,320525.19,303908.54,120412
Condiments,HEB,8,2020,2/24/2020,274740,247080,440175.5,386134.188,99127
Condiments,HEB,9,2020,3/2/2020,258000,247764,390916.07,367188.927,121377
Condiments,HEB,10,2020,3/9/2020,520038,507654,837382.05,817698.51,74316
Condiments,HEB,11,2020,3/16/2020,339648,331806,616730.76,585017.185,153673
Condiments,HEB,12,2020,3/23/2020,388314,371526,673760.55,637464.066,209296
Condiments,HEB,13,2020,3/30/2020,581196,483828,1053454.15,801135.424,229423
Condiments,HEB,14,2020,4/6/2020,260910,223563,421315.89,335102.454,279374
Condiments,HEB,15,2020,4/13/2020,265044,246951,479140.61,406495.76,267578
Condiments,HEB,16,2020,4/20/2020,261660,243300,418140.57,387716.536,220558
Condiments,HEB,17,2020,4/27/2020,436626,411538,764230.65,717057.032,214302
Condiments,HEB,18,2020,5/4/2020,443604,421096,743886.91,685859.958,262708
Condiments,HEB,19,2020,5/11/2020,59988,31644,117001.47,65928.645,222485
Condiments,HEB,20,2020,5/18/2020,180072,138888,259522.07,196437.35,170941
Condiments,HEB,21,2020,5/25/2020,558024,383958,969467.25,674494.408,112149
Condiments,HEB,22,2020,6/1/2020,541866,346838,849713.58,582235.793,105191
Condiments,HEB,23,2020,6/8/2020,316584,232416,527250.21,387413.778,119430
Condiments,HEB,24,2020,6/15/2020,294048,123688,409917.47,193864.847,99276
Condiments,HEB,25,2020,6/22/2020,551844,362682,1002356.91,688435.22,
Condiments,HEB,26,2020,6/29/2020,711870,525702,1265626.88,949871.512,
Condiments,Kroger,1,2020,1/6/2020,380672,355732,1069383.1,1030912.825,1637155
Condiments,Kroger,2,2020,1/13/2020,565436,523228,1405834.42,1340267.963,1590705
Condiments,Kroger,3,2020,1/20/2020,661842,632166,1707530.41,1630935.206,1726273
Condiments,Kroger,4,2020,1/27/2020,597060,538712,1670522.25,1602866.235,1805592
Condiments,Kroger,5,2020,2/3/2020,546900,468018,1331953.97,1196813.077,1629654
Condiments,Kroger,6,2020,2/10/2020,535868,502016,1419799.23,1334644.967,1534197
Condiments,Kroger,7,2020,2/17/2020,382495,381272,1000891.73,973015.531,1482121
Condiments,Kroger,8,2020,2/24/2020,537080,502178,1426026.06,1369303.956,1476968
Condiments,Kroger,9,2020,3/2/2020,550936,516808,1553502.21,1458574.482,1454203
Condiments,Kroger,10,2020,3/9/2020,674688,646248,1907533.49,1865400.789,1545389
Condiments,Kroger,11,2020,3/16/2020,589888,561760,1625987.07,1582749.326,1187580
Condiments,Kroger,12,2020,3/23/2020,638690,602858,1798819.17,1766478.639,909485
Condiments,Kroger,13,2020,3/30/2020,1366976,1181845,3749755.87,3335550.651,1135593
Condiments,Kroger,14,2020,4/6/2020,1052098,790157,3143363.44,2280752.04,1300669
Condiments,Kroger,15,2020,4/13/2020,1517576,1067328,4507684.61,2961475.322,1515420
Condiments,Kroger,16,2020,4/20/2020,1274110,940850,3747966.86,2657599.631,1726776
Condiments,Kroger,17,2020,4/27/2020,906410,693988,2635475.51,1782093.112,1717711
Condiments,Kroger,18,2020,5/4/2020,904158,788516,2930047.26,2306895.907,1721722
Condiments,Kroger,19,2020,5/11/2020,868482,708998,2853579.34,1996669.894,1609960
Condiments,Kroger,20,2020,5/18/2020,890362,745204,3063343.99,2258611.158,1688518
Condiments,Kroger,21,2020,5/25/2020,1023018,902203,3142598.07,2867377.669,1676564
Condiments,Kroger,22,2020,6/1/2020,908192,806851,2739255.11,2490416.166,1819930
Condiments,Kroger,23,2020,6/8/2020,719682,626450,1944560,1708231.67,1856527
Condiments,Kroger,24,2020,6/15/2020,738002,552527,2008770.8,1504791.695,1637441
Condiments,Kroger,25,2020,6/22/2020,1035784,863734,3360789.53,2826969.757,
Condiments,Kroger,26,2020,6/29/2020,1029486,939762,3151743.95,2935377.979,
Condiments,Meijer,1,2020,1/6/2020,840,456,3669.87,1125.43,241435
Condiments,Meijer,2,2020,1/13/2020,39734,49658,174234.33,164643.281,242289
Condiments,Meijer,3,2020,1/20/2020,38246,24218,132378.88,83256.324,206661
Condiments,Meijer,4,2020,1/27/2020,53480,57932,218753.24,215422.81,196554
Condiments,Meijer,5,2020,2/3/2020,100490,99158,366610.6,359098.587,258434
Condiments,Meijer,6,2020,2/10/2020,43942,29110,173682.87,110467.61,251418
Condiments,Meijer,7,2020,2/17/2020,47264,40988,163061.94,143659.87,228479
Condiments,Meijer,8,2020,2/24/2020,63090,62484,241416.86,239043.57,243024
Condiments,Meijer,9,2020,3/2/2020,148166,133370,557047.64,496064.052,283880
Condiments,Meijer,10,2020,3/9/2020,54480,53058,197948.42,191198.143,346993
Condiments,Meijer,11,2020,3/16/2020,133794,129114,479938.92,464002.375,346974
Condiments,Meijer,12,2020,3/23/2020,36468,37692,144494.88,135396.94,252610
Condiments,Meijer,13,2020,3/30/2020,115290,108270,422066.76,392750.908,285766
Condiments,Meijer,14,2020,4/6/2020,464250,118359,1729516.39,423670.455,280156
Condiments,Meijer,15,2020,4/13/2020,217020,102966,798845.67,366621.915,335165
Condiments,Meijer,16,2020,4/20/2020,183602,131172,695955.16,507728.988,372493
Condiments,Meijer,17,2020,4/27/2020,93510,58206,327292.79,209530.908,324471
Condiments,Meijer,18,2020,5/4/2020,163350,92928,603533.87,317459.171,361888
Condiments,Meijer,19,2020,5/11/2020,167178,89082,640678.43,341554.574,351846
Condiments,Meijer,20,2020,5/18/2020,160836,122928,583653.03,461803.279,408156
Condiments,Meijer,21,2020,5/25/2020,152100,95106,557092.17,352159.365,407493
Condiments,Meijer,22,2020,6/1/2020,156486,108126,583451.35,409751.035,410025
Condiments,Meijer,23,2020,6/8/2020,34938,24150,116617.2,81512.1,339567
Condiments,Meijer,24,2020,6/15/2020,123180,79242,489631.58,349532.337,324817
Condiments,Meijer,25,2020,6/22/2020,239322,160518,832341.71,583582.513,
Condiments,Meijer,26,2020,6/29/2020,208140,171450,742010.14,635346.246,
Condiments,Other,1,2020,1/6/2020,1748081,1475030,5201248.02,4597028.785,
Condiments,Other,2,2020,1/13/2020,5447069,4075481,1.36E+07,1.19E+07,
Condiments,Other,3,2020,1/20/2020,4587009,3730800,1.24E+07,1.09E+07,
Condiments,Other,4,2020,1/27/2020,5664442,3779667,1.30E+07,1.10E+07,
Condiments,Other,5,2020,2/3/2020,6438235,3926934,1.69E+07,1.09E+07,
Condiments,Other,6,2020,2/10/2020,4264865,3617267,1.08E+07,9597406.165,
Condiments,Other,7,2020,2/17/2020,4309654,3769218,1.15E+07,1.03E+07,
Condiments,Other,8,2020,2/24/2020,5124955,4184283,1.46E+07,1.15E+07,
Condiments,Other,9,2020,3/2/2020,6169166,4189511,2.01E+07,1.18E+07,
Condiments,Other,10,2020,3/9/2020,7430348,4110931,2.84E+07,1.29E+07,
Condiments,Other,11,2020,3/16/2020,5548935,4786105,1.78E+07,1.55E+07,
Condiments,Other,12,2020,3/23/2020,6186802,4536057,2.23E+07,1.66E+07,
Condiments,Other,13,2020,3/30/2020,9419058,6912681,3.19E+07,2.37E+07,
Condiments,Other,14,2020,4/6/2020,1.10E+07,5809344,3.90E+07,1.92E+07,
Condiments,Other,15,2020,4/13/2020,1.14E+07,5637104,3.90E+07,1.90E+07,
Condiments,Other,16,2020,4/20/2020,1.31E+07,6179822,3.52E+07,2.03E+07,
Condiments,Other,17,2020,4/27/2020,1.05E+07,5183811,3.39E+07,1.79E+07,
Condiments,Other,18,2020,5/4/2020,9038062,4641434,2.83E+07,1.66E+07,
Condiments,Other,19,2020,5/11/2020,1.03E+07,5444425,3.06E+07,1.81E+07,
Condiments,Other,20,2020,5/18/2020,1.10E+07,6642773,3.46E+07,2.39E+07,
Condiments,Other,21,2020,5/25/2020,1.14E+07,6542430,3.66E+07,2.38E+07,
Condiments,Other,22,2020,6/1/2020,1.03E+07,5854277,3.11E+07,2.24E+07,
Condiments,Other,23,2020,6/8/2020,1.04E+07,6042579,3.36E+07,2.21E+07,
Condiments,Other,24,2020,6/15/2020,7771501,4184866,2.61E+07,1.58E+07,
Condiments,Other,25,2020,6/22/2020,9368160,5317200,2.92E+07,1.93E+07,
Condiments,Other,26,2020,6/29/2020,9814528,6456957,3.13E+07,2.37E+07,
Condiments,Target,1,2020,1/6/2020,34844,31826,95548.04,88874.636,600333
Condiments,Target,2,2020,1/13/2020,125354,111422,346684.25,319780.116,586478
Condiments,Target,3,2020,1/20/2020,121514,107634,360870.15,321464.06,571025
Condiments,Target,4,2020,1/27/2020,152418,147012,463442.83,447479.73,606023
Condiments,Target,5,2020,2/3/2020,125824,121298,369837.72,357791.19,602039
Condiments,Target,6,2020,2/10/2020,101206,94962,305439.5,288796.002,621816
Condiments,Target,7,2020,2/17/2020,73424,70662,215062.04,207969.889,575318
Condiments,Target,8,2020,2/24/2020,151258,147794,471875.84,463432.161,607894
Condiments,Target,9,2020,3/2/2020,92286,87024,271295.27,257867.69,551449
Condiments,Target,10,2020,3/9/2020,103440,98304,302881.34,286676.36,512154
Condiments,Target,11,2020,3/16/2020,249708,238150,738444.1,705335.798,406023
Condiments,Target,12,2020,3/23/2020,232226,201188,723543.06,646822.952,339829
Condiments,Target,13,2020,3/30/2020,643426,495025,1973579.41,1519053.898,601505
Condiments,Target,14,2020,4/6/2020,749344,385937,2250622.04,1147541.166,700359
Condiments,Target,15,2020,4/13/2020,916724,260550,2759354.24,777905.848,796159
Condiments,Target,16,2020,4/20/2020,654926,210676,1948763.71,610215.777,823036
Condiments,Target,17,2020,4/27/2020,737172,184046,2178972.21,532193.629,794967
Condiments,Target,18,2020,5/4/2020,588198,170564,1735212.97,509316.49,738297
Condiments,Target,19,2020,5/11/2020,741182,187188,2237537.06,576606.671,677574
Condiments,Target,20,2020,5/18/2020,971780,381038,2889135.36,1200704.162,869181
Condiments,Target,21,2020,5/25/2020,471426,182596,1368932.79,559195.749,857037
Condiments,Target,22,2020,6/1/2020,369986,127898,1053498.12,411473.946,812698
Condiments,Target,23,2020,6/8/2020,315298,114774,890135.22,354809.299,772650
Condiments,Target,24,2020,6/15/2020,475954,193352,1389808.31,619934.021,723009
Condiments,Target,25,2020,6/22/2020,559904,272226,1660720.95,880341.204,
Condiments,Target,26,2020,6/29/2020,548764,258592,1580237.71,845006.515,
Condiments,Walgreens,1,2020,1/6/2020,2268,2268,7763.32,7763.32,148185
Condiments,Walgreens,2,2020,1/13/2020,11202,10572,22359.48,21819.64,144748
Condiments,Walgreens,3,2020,1/20/2020,10992,10764,41887.41,41258.65,143784
Condiments,Walgreens,4,2020,1/27/2020,12837,12249,35494.9,35078.97,139400
Condiments,Walgreens,5,2020,2/3/2020,28854,28134,107210.55,104855.19,137916
Condiments,Walgreens,6,2020,2/10/2020,16947,15555,45134.68,42260.66,144638
Condiments,Walgreens,7,2020,2/17/2020,11172,10416,28510.95,26461.29,143154
Condiments,Walgreens,8,2020,2/24/2020,9312,9264,22483.13,22451.23,141172
Condiments,Walgreens,9,2020,3/2/2020,13122,13122,37933.56,37933.56,112455
Condiments,Walgreens,10,2020,3/9/2020,6636,6420,20923.21,20327.534,112795
Condiments,Walgreens,11,2020,3/16/2020,15606,15558,54499.97,54468.07,103529
Condiments,Walgreens,12,2020,3/23/2020,36936,34428,123287.49,121290.71,86262
Condiments,Walgreens,13,2020,3/30/2020,20850,20424,82064.14,80786.06,97525
Condiments,Walgreens,14,2020,4/6/2020,28770,25527,82424.9,69422.324,94721
Condiments,Walgreens,15,2020,4/13/2020,21063,17637,59895.2,53260.293,72452
Condiments,Walgreens,16,2020,4/20/2020,25767,21027,80176.21,65016.33,72757
Condiments,Walgreens,17,2020,4/27/2020,20910,18726,76232,72183.489,71684
Condiments,Walgreens,18,2020,5/4/2020,11910,8934,29327.59,26940.322,79585
Condiments,Walgreens,19,2020,5/11/2020,11031,9804,30685.59,27939.695,77793
Condiments,Walgreens,20,2020,5/18/2020,14151,11175,37753.9,32854.808,66223
Condiments,Walgreens,21,2020,5/25/2020,85596,42267,272771.51,132678.162,89894
Condiments,Walgreens,22,2020,6/1/2020,50664,33456,156629.42,123410.307,107713
Condiments,Walgreens,23,2020,6/8/2020,17586,11610,48334.3,34382.828,116136
Condiments,Walgreens,24,2020,6/15/2020,10968,2424,26516.48,4396,109433
Condiments,Walgreens,25,2020,6/22/2020,19224,9720,49751.2,27898.44,
Condiments,Walgreens,26,2020,6/29/2020,19296,16272,59022.17,54218.993,
Condiments,Walmart,1,2020,1/6/2020,277928,210556,568516.1,461557.563,2543326
Condiments,Walmart,2,2020,1/13/2020,1458011,1292192,3309143.31,3004956.708,2359731
Condiments,Walmart,3,2020,1/20/2020,1573580,1423994,3624426.78,3310325.251,2307621
Condiments,Walmart,4,2020,1/27/2020,1482340,1379938,3354269.62,3154273.627,2380914
Condiments,Walmart,5,2020,2/3/2020,1728022,1568855,3894541.83,3643452.981,2441449
Condiments,Walmart,6,2020,2/10/2020,1574470,1464415,3355471.1,3201332.032,865101
Condiments,Walmart,7,2020,2/17/2020,1601142,1516762,3581607.11,3466807.617,2297019
Condiments,Walmart,8,2020,2/24/2020,1699178,1576393,3946332.91,3794020.543,2428852
Condiments,Walmart,9,2020,3/2/2020,1766485,1621891,4033072.5,3826322.179,2487222
Condiments,Walmart,10,2020,3/9/2020,2311517,2186723,5583285.92,5302407.873,2838917
Condiments,Walmart,11,2020,3/16/2020,1892578,1796880,4622011.11,4434438.506,2464844
Condiments,Walmart,12,2020,3/23/2020,2515078,2268356,6059379.62,5604048.924,2046563
Condiments,Walmart,13,2020,3/30/2020,3906506,3316923,9905524.82,8536282.728,3230553
Condiments,Walmart,14,2020,4/6/2020,5772806,1859230,1.43E+07,3768405.645,3520322
Condiments,Walmart,15,2020,4/13/2020,3249058,1409565,7508420.55,3083552.881,3202053
Condiments,Walmart,16,2020,4/20/2020,2051107,1625100,4990325.67,3989538.751,2927287
Condiments,Walmart,17,2020,4/27/2020,2542815,1985745,5745802.99,4486010.117,2990128
Condiments,Walmart,18,2020,5/4/2020,2175239,1489045,5272206.54,3391951.25,2626450
Condiments,Walmart,19,2020,5/11/2020,2986860,1771064,7297681.99,4093873.449,2689289
Condiments,Walmart,20,2020,5/18/2020,2796353,1790181,7294386.36,4378836.89,2793982
Condiments,Walmart,21,2020,5/25/2020,3243658,2084375,8297793.92,5335777.939,2812822
Condiments,Walmart,22,2020,6/1/2020,2510653,1908364,6157153.1,4777085.522,2107453
Condiments,Walmart,23,2020,6/8/2020,2071680,1472063,4949478.36,3486235.288,3385843
Condiments,Walmart,24,2020,6/15/2020,2674405,1377331,6618925.56,3105358.542,3045358
Condiments,Walmart,25,2020,6/22/2020,2690284,1641880,6985323.12,4051401.617,
Condiments,Walmart,26,2020,6/29/2020,2523991,1843576,6506781.18,4811521.058,
Deo,Ahold & Delhaize,1,2020,1/6/2020,14916,14604,50814.16,49659.36,565077
Deo,Ahold & Delhaize,2,2020,1/13/2020,49800,46950,162756.91,151887.39,562357
Deo,Ahold & Delhaize,3,2020,1/20/2020,45984,42642,147472.02,135646.093,554316
Deo,Ahold & Delhaize,4,2020,1/27/2020,50346,46152,148954.29,133088.683,555391
Deo,Ahold & Delhaize,5,2020,2/3/2020,68088,61518,228229.91,200081.112,565670
Deo,Ahold & Delhaize,6,2020,2/10/2020,60396,63924,206140.74,193799.765,573586
Deo,Ahold & Delhaize,7,2020,2/17/2020,26892,24360,86437.45,76035.19,552788
Deo,Ahold & Delhaize,8,2020,2/24/2020,23460,22440,81175.62,77325,508535
Deo,Ahold & Delhaize,9,2020,3/2/2020,62910,61974,200519.7,196558.696,526757
Deo,Ahold & Delhaize,10,2020,3/9/2020,119826,116094,416090.82,401483.747,590606
Deo,Ahold & Delhaize,11,2020,3/16/2020,23082,22158,75966.99,71861.36,522249
Deo,Ahold & Delhaize,12,2020,3/23/2020,20580,16524,70518,54993.456,453163
Deo,Ahold & Delhaize,13,2020,3/30/2020,57420,54420,192787.98,181021.79,447901
Deo,Ahold & Delhaize,14,2020,4/6/2020,87312,76272,278165.85,253015.013,466270
Deo,Ahold & Delhaize,15,2020,4/13/2020,40134,33870,137999.61,119354,447471
Deo,Ahold & Delhaize,16,2020,4/20/2020,73854,59874,222290.5,178608.459,431603
Deo,Ahold & Delhaize,17,2020,4/27/2020,51084,45516,154386.75,137021.592,422630
Deo,Ahold & Delhaize,18,2020,5/4/2020,62100,58620,193610.82,182282.559,457242
Deo,Ahold & Delhaize,19,2020,5/11/2020,74964,71292,237754.5,225087.386,409922
Deo,Ahold & Delhaize,20,2020,5/18/2020,58722,56226,172384.42,163153.556,451432
Deo,Ahold & Delhaize,21,2020,5/25/2020,27066,24894,90443.91,82532.15,435353
Deo,Ahold & Delhaize,22,2020,6/1/2020,29118,28590,89447.95,87588.72,411360
Deo,Ahold & Delhaize,23,2020,6/8/2020,72930,67362,242876.7,226360.193,408316
Deo,Ahold & Delhaize,24,2020,6/15/2020,88836,87528,235714.17,232472.709,453482
Deo,Ahold & Delhaize,25,2020,6/22/2020,47454,46974,120113.62,117915.27,
Deo,Ahold & Delhaize,26,2020,6/29/2020,54894,53994,160314.62,158797.686,
Deo,CVS,1,2020,1/6/2020,28304,27590,100827.62,97993.26,4050037
Deo,CVS,2,2020,1/13/2020,713176,649996,2962574.47,2687906.346,4074600
Deo,CVS,3,2020,1/20/2020,393640,359812,1625140.43,1484407.544,4034329
Deo,CVS,4,2020,1/27/2020,630040,594568,2553934.61,2403522.603,4098692
Deo,CVS,5,2020,2/3/2020,460618,417082,1886111.85,1690966.016,1237057
Deo,CVS,6,2020,2/10/2020,503462,433430,2038407.88,1768565.894,1344762
Deo,CVS,7,2020,2/17/2020,433204,398110,1652262.12,1521240.264,1459161
Deo,CVS,8,2020,2/24/2020,729910,689482,2566472.04,2426641.883,1785650
Deo,CVS,9,2020,3/2/2020,404688,373134,1448058.71,1355420.011,1725405
Deo,CVS,10,2020,3/9/2020,567636,530664,2124283.94,2006401.874,1655550
Deo,CVS,11,2020,3/16/2020,492620,462098,1943095.56,1799133.038,1655550
Deo,CVS,12,2020,3/23/2020,440076,400944,1689846.47,1526841.987,1724793
Deo,CVS,13,2020,3/30/2020,286214,250496,1110889.85,954089.824,1736075
Deo,CVS,14,2020,4/6/2020,422784,367008,1620688.77,1404135.087,1898778
Deo,CVS,15,2020,4/13/2020,229448,213290,852923.35,786072.553,1893349
