category,date,original,dispatched,order$,ship$
home care,2018-02-19,1008737.0,938726.0,4269759.64,3898578.1770000006
hair care,2018-02-19,12311419.0,11184270.0,32905002.030000005,29024341.141000006
tea,2018-02-19,1811065.0,1699307.0,5562992.800000002,5321640.980999999
deo,2018-02-19,7689741.0,7358808.0,24161972.08,23036290.674999997
ice cream,2018-02-19,15232027.0,14587908.0,40266581.39999999,38265674.27199999
svg other personal care,2018-02-19,278068.0,274379.0,2043237.4400000002,1893353.105
ic-other,2018-02-19,114.0,132.0,1812.3700000000001,1812.3700000000001
q-tips,2018-02-19,2039649.0,2022733.0,3091677.449999999,3058584.4829999986
personal wash,2018-02-19,8632616.0,8126018.0,33629653.61,31229213.44
condiments,2018-02-19,4841022.0,4392167.0,16452524.409999998,15579228.064999998
savoury,2018-02-19,11147714.0,10707534.0,11225846.490000006,10715451.878000006
skin care,2018-02-19,3923118.0,3587362.0,9569954.689999996,8760408.068999993
home care,2018-02-26,1113357.0,960502.0,4482338.039999999,4017300.312999999
ice cream,2018-02-26,19067542.0,18573272.0,46297352.66999997,44933882.274
condiments,2018-02-26,4598401.0,4326937.0,16846018.18,16056597.451
q-tips,2018-02-26,1204309.0,1129635.0,3028994.360000001,2898942.717
ic-other,2018-02-26,576.0,564.0,8070.12,7739.110000000001
svg other personal care,2018-02-26,303798.0,288577.0,1960007.43,1857595.7699999998
skin care,2018-02-26,3700179.0,3280982.0,11597507.95,9880678.506000003
savoury,2018-02-26,11678364.0,10736707.0,10944429.850000007,10707987.545000002
personal wash,2018-02-26,13190803.0,10196230.0,54138372.06,41413776.57100001
hair care,2018-02-26,12235300.0,10937845.0,37620516.370000005,33067330.555000007
tea,2018-02-26,1724026.0,1647003.0,5670215.930000002,5362892.865999999
deo,2018-02-26,9456801.0,8486386.0,29146997.479999997,26290594.576999992
condiments,2018-03-05,4511545.0,4304742.0,15790963.6,14846965.815999996
q-tips,2018-03-05,1174146.0,1140758.0,2967367.9699999993,2884911.4499999997
deo,2018-03-05,8793243.0,8295965.0,30384136.64999998,28539932.117999993
hair care,2018-03-05,10193792.0,9455538.0,31375570.38,28769054.012
svg other personal care,2018-03-05,259882.0,259866.0,1770910.41,1633161.95
ic-other,2018-03-05,558.0,558.0,7654.460000000001,7654.460000000001
ice cream,2018-03-05,15484751.0,15065852.0,40054776.17000002,38179024.45600002
skin care,2018-03-05,3609606.0,3286001.0,10796746.47,9608128.040000001
savoury,2018-03-05,10357560.0,10004836.0,10367067.610000003,9908825.77
personal wash,2018-03-05,9022899.0,8366165.0,35509863.54000001,32738328.47899999
home care,2018-03-05,926874.0,884309.0,4028987.32,3804519.9020000007
tea,2018-03-05,1811073.0,1681444.0,5570571.84,5289792.717999997
ic-other,2018-03-12,804.0,792.0,11018.929999999998,10854.279999999999
other foods,2018-03-12,0.0,10368.0,25363.83,25363.83
personal wash,2018-03-12,7599102.0,7023687.0,32992763.899999987,30300818.782000005
skin care,2018-03-12,3190824.0,3034787.0,9752140.340000002,9219580.794000002
svg other personal care,2018-03-12,240456.0,233872.0,1369889.0999999999,1302844.515
q-tips,2018-03-12,1318612.0,1308832.0,3450853.9800000014,3413569.381000001
ice cream,2018-03-12,17300623.0,16831618.0,45209173.65000003,43972429.26000003
hair care,2018-03-12,10238446.0,9579192.0,30647609.570000004,28403001.012000006
deo,2018-03-12,8500234.0,7922236.0,26641280.469999995,24865486.177
home care,2018-03-12,1319664.0,1227726.0,5372321.440000001,5011195.063999999
tea,2018-03-12,1825525.0,1741890.0,5715607.14,5502417.988000001
savoury,2018-03-12,10127339.0,9822448.0,10201850.560000002,9857115.407000003
condiments,2018-03-12,7283338.0,6585117.0,25248954.800000004,23887537.978
savoury,2018-03-19,14452040.0,13359888.0,14027115.129999999,13041843.188999997
skin care,2018-03-19,3033161.0,2859919.0,9012168.729999999,8396961.566
ice cream,2018-03-19,19992716.0,18679290.0,55188288.95999996,49658325.53799998
svg other personal care,2018-03-19,405394.0,372634.0,2175072.5199999996,1995996.946
tea,2018-03-19,1632367.0,1551975.0,5371951.0699999975,5128825.772999999
personal wash,2018-03-19,8718807.0,8391729.0,43415391.550000004,41212275.169000015
condiments,2018-03-19,6950817.0,6111749.0,24216545.100000005,23020301.848000005
hair care,2018-03-19,11136773.0,10251893.0,38232783.379999995,36285584.124
home care,2018-03-19,1358939.0,1106974.0,5273477.300000001,4445131.418
ic-other,2018-03-19,1020.0,834.0,14009.649999999998,11454.57
deo,2018-03-19,8445655.0,7795999.0,28459736.899999995,26262883.981000002
q-tips,2018-03-19,1924158.0,1692407.0,6156219.760000001,5876557.1620000005
hair care,2018-03-26,14304559.0,11777481.0,48093789.74,40273976.133
q-tips,2018-03-26,1661705.0,1676866.0,4939376.9300000025,4861755.453000002
ic-other,2018-03-26,612.0,438.0,8405.76,6011.389999999999
skin care,2018-03-26,3275742.0,3105917.0,10042949.970000006,9373319.141000006
ice cream,2018-03-26,26320497.0,24823004.0,64758367.22999998,59986500.89300004
svg other personal care,2018-03-26,398279.0,328053.0,2479431.1799999997,2076850.1069999998
home care,2018-03-26,1524939.0,1424278.0,6276454.170000001,5968779.782000002
savoury,2018-03-26,13956551.0,13774641.0,14293269.880000003,13744507.103999998
personal wash,2018-03-26,9916418.0,9473006.0,50280468.700000055,46951933.243000045
deo,2018-03-26,10315126.0,9226500.0,32071315.170000006,29129655.608999994
tea,2018-03-26,2062488.0,1992602.0,7063679.449999997,6737105.539999999
condiments,2018-03-26,8334824.0,7748502.0,27523774.91999999,26280353.840999994
svg other personal care,2018-04-02,212445.0,200054.0,1173902.05,1122166.8930000002
deo,2018-04-02,6545933.0,5991640.0,21087311.77,19210732.185
tea,2018-04-02,1303268.0,1261393.0,4281147.65,4007460.1089999992
hair care,2018-04-02,7790884.0,7300809.0,23808689.97999999,21861201.449
condiments,2018-04-02,3446224.0,3251068.0,12290535.020000003,11534100.944000004
ic-other,2018-04-02,336.0,216.0,4575.469999999999,2922.0699999999997
savoury,2018-04-02,7285892.0,7332914.0,8478518.999999998,7885496.361999999
home care,2018-04-02,1117786.0,955071.0,4392251.739999999,3869136.774
personal wash,2018-04-02,6424197.0,5949210.0,27203736.369999997,24592010.998
q-tips,2018-04-02,1256827.0,1256349.0,2748516.4099999988,2642073.849999999
ice cream,2018-04-02,14044219.0,13086666.0,36119438.86000001,33667948.518
skin care,2018-04-02,2436208.0,2272807.0,7215523.48,6715795.331999998
ic-other,2018-04-09,558.0,276.0,7660.5,3785.2899999999995
hair care,2018-04-09,9581845.0,8997241.0,29643632.06999999,27497426.170999996
deo,2018-04-09,8580954.0,7933199.0,27367850.38,25690247.680000003
q-tips,2018-04-09,1275073.0,1251731.0,3431340.36,3380213.7449999987
personal wash,2018-04-09,7017860.0,6799151.0,31884552.64999999,30240673.91199998
ice cream,2018-04-09,15922154.0,14977708.0,39658625.389999986,37574163.524000004
savoury,2018-04-09,8219497.0,7622071.0,8637820.379999997,8072709.106999999
svg other personal care,2018-04-09,500840.0,285546.0,2411408.47,1857794.5879999995
condiments,2018-04-09,4243446.0,3826894.0,13844947.280000001,12985142.880000003
tea,2018-04-09,1677468.0,1579779.0,5647843.150000002,5187042.931999999
skin care,2018-04-09,3010629.0,2813089.0,8556832.450000001,7945841.084000004
home care,2018-04-09,1472548.0,1202506.0,5847995.35,4863757.427
tea,2018-04-16,1817832.0,1807972.0,6173944.630000003,5999165.6389999995
savoury,2018-04-16,9419275.0,9242219.0,10112436.81,9684026.723999998
ice cream,2018-04-16,18333686.0,17705409.0,45518908.53000001,43854225.38799999
ic-other,2018-04-16,696.0,306.0,9557.49,4200.79
other foods,2018-04-16,2016.0,1920.0,4931.95,4697.094
hair care,2018-04-16,9471852.0,8904739.0,29644587.72,27132176.325999998
svg other personal care,2018-04-16,308405.0,273196.0,1796875.0,1687470.952
personal wash,2018-04-16,7010120.0,6742423.0,28837649.54,27829806.966
skin care,2018-04-16,2762232.0,2618394.0,8263167.579999998,7785237.099000002
condiments,2018-04-16,5065447.0,4552316.0,15441646.629999997,14819115.283
q-tips,2018-04-16,1336627.0,1294238.0,3119598.209999999,3040811.0509999995
deo,2018-04-16,7791637.0,7521387.0,24300273.37,23442364.789000005
home care,2018-04-16,1091986.0,992919.0,4652526.880000001,4297418.622
skin care,2018-04-23,3069622.0,2817084.0,8989741.320000004,8182016.552999999
hair care,2018-04-23,13995365.0,10359787.0,42718152.789999984,30370580.934
ic-other,2018-04-23,972.0,1068.0,14671.080000000002,14506.500000000002
svg other personal care,2018-04-23,307576.0,295937.0,1575660.6099999996,1529424.6209999996
q-tips,2018-04-23,1904293.0,1805181.0,4472790.669999998,4219177.949999999
tea,2018-04-23,1709270.0,1631479.0,5524886.930000002,5214096.643000002
home care,2018-04-23,1086537.0,1011354.0,4351171.909999999,4098852.8959999983
savoury,2018-04-23,10963497.0,8874548.0,9879940.31,9326384.028999995
condiments,2018-04-23,5639647.0,5430655.0,18268192.069999985,17696513.59699999
deo,2018-04-23,8241987.0,7890775.0,26843817.50999999,25475211.931999996
personal wash,2018-04-23,7287134.0,7023759.0,30036236.649999995,28549121.375
ice cream,2018-04-23,18430952.0,17931791.0,44717461.38000001,43587089.45700001
ic-other,2018-04-30,240.0,360.0,4933.7300000000005,4933.7300000000005
skin care,2018-04-30,2982364.0,2880396.0,9432175.590000002,8704889.197
hair care,2018-04-30,8977664.0,8617840.0,27156573.769999985,25727585.017
home care,2018-04-30,990699.0,928688.0,4205339.96,3953407.1959999995
condiments,2018-04-30,5735158.0,5315539.0,18168308.759999998,17503557.54300001
tea,2018-04-30,1932532.0,1744624.0,6529474.430000004,5866119.756000002
ice cream,2018-04-30,23431332.0,23086046.0,54935744.79999998,53963353.401000015
deo,2018-04-30,7563267.0,7276291.0,23706467.58,22753197.677000012
q-tips,2018-04-30,1784052.0,1268152.0,4656511.029999999,3065160.143999999
personal wash,2018-04-30,8606304.0,8374938.0,35084701.13000002,33642995.65
svg other personal care,2018-04-30,300795.0,294931.0,1756407.12,1702187.8769999999
savoury,2018-04-30,9132089.0,8904876.0,9464557.14,9100929.215
q-tips,2018-05-07,1533691.0,1252722.0,3786502.3699999996,2903942.9710000004
hair care,2018-05-07,9516442.0,9187495.0,30172546.769999996,28049422.369000003
skin care,2018-05-07,2737392.0,2639208.0,8813452.870000003,7871920.266000002
home care,2018-05-07,790437.0,749725.0,3328883.790000001,3176401.9050000003
savoury,2018-05-07,10615373.0,8431080.0,9226480.86,8632006.692999994
tea,2018-05-07,1843077.0,1757429.0,6248835.330000001,5873822.788
condiments,2018-05-07,6799690.0,5757692.0,22897627.32000001,21170970.714
personal wash,2018-05-07,7256406.0,7081658.0,32641700.74,29740617.104999993
ice cream,2018-05-07,19890578.0,19660573.0,49480649.77999999,48685707.00999998
ic-other,2018-05-07,852.0,708.0,11951.32,9706.73
deo,2018-05-07,7576003.0,7287383.0,24004497.259999998,22578748.233999997
svg other personal care,2018-05-07,265557.0,257977.0,1588507.8300000003,1493601.6370000006
condiments,2018-05-14,9652148.0,8759514.0,33307177.820000004,31517871.21100001
q-tips,2018-05-14,1398114.0,1331793.0,3439167.2800000007,3359833.7960000006
home care,2018-05-14,1075032.0,997735.0,4363949.73,4158596.0930000003
deo,2018-05-14,8729437.0,8510189.0,27819109.46,27002372.647000004
personal wash,2018-05-14,8576181.0,8049390.0,37244742.780000016,34791908.13000001
savoury,2018-05-14,10909899.0,10538371.0,11260228.039999997,10517475.599999994
ic-other,2018-05-14,1086.0,1086.0,14896.840000000002,14896.840000000002
ice cream,2018-05-14,24286853.0,23870335.0,58708808.45999999,57807258.26700001
skin care,2018-05-14,3122649.0,3063535.0,9767738.440000003,9138259.279000001
svg other personal care,2018-05-14,337171.0,316751.0,2178456.76,2031129.1520000002
hair care,2018-05-14,9252955.0,8839535.0,29216276.699999988,27177481.893999994
tea,2018-05-14,2326623.0,2218404.0,7465176.2299999995,7103066.237000001
tea,2018-05-21,2363924.0,2236311.0,7526025.82,7133631.523
ic-other,2018-05-21,426.0,390.0,5852.719999999999,5358.77
deo,2018-05-21,9355409.0,8779867.0,30289686.909999996,28579718.238000005
ice cream,2018-05-21,25432798.0,24913052.0,60851698.70999999,59786900.453
condiments,2018-05-21,7557216.0,6904574.0,26523958.97,24951433.81200001
hair care,2018-05-21,10125142.0,10049061.0,32150493.35,30974272.567
savoury,2018-05-21,11508383.0,10991871.0,12498788.090000002,11854676.361
personal wash,2018-05-21,9952362.0,8848833.0,39826532.64999999,35903008.427
svg other personal care,2018-05-21,269401.0,263703.0,1518743.4700000002,1472973.109
skin care,2018-05-21,3212377.0,2953611.0,9705813.539999997,8806084.952999998
home care,2018-05-21,1180411.0,1101819.0,4852750.94,4572958.0139999995
q-tips,2018-05-21,1322498.0,1184642.0,3168485.3999999994,3043114.153
savoury,2018-05-28,10133148.0,9343216.0,10518931.149999993,9695205.401999993
ic-other,2018-05-28,1258.0,896.0,17201.65,12302.83
tea,2018-05-28,1872996.0,1771974.0,5932613.93,5623201.943999999
skin care,2018-05-28,2695299.0,2493811.0,8476227.219999997,7634250.073000003
deo,2018-05-28,8912717.0,8237730.0,28468995.630000003,25916439.295
ice cream,2018-05-28,26400618.0,23770373.0,56206542.39999997,50257423.462000005
personal wash,2018-05-28,9125703.0,8274809.0,36423050.89999998,33108550.53199998
hair care,2018-05-28,9591389.0,9347430.0,28819826.410000004,27162739.58999999
condiments,2018-05-28,6141804.0,5720241.0,21619358.139999997,19952369.53
svg other personal care,2018-05-28,227240.0,220154.0,1359472.11,1280398.2100000002
home care,2018-05-28,757033.0,724504.0,3221482.9699999997,3085189.484
q-tips,2018-05-28,1973180.0,1906267.0,4271439.440000001,4184256.191000001
tea,2018-06-04,1878741.0,1780027.0,5862630.3500000015,5591481.605000001
personal wash,2018-06-04,9098384.0,8075805.0,38012902.400000006,34502529.39900001
ic-other,2018-06-04,244.0,276.0,3778.5099999999998,3778.5099999999998
hair care,2018-06-04,9742095.0,9308516.0,29350273.45,27602749.082
deo,2018-06-04,8731723.0,8241493.0,27597180.879999995,25898411.933000002
ice cream,2018-06-04,20910978.0,20331662.0,50395123.94000001,48832682.99200001
savoury,2018-06-04,10450693.0,10201015.0,10410635.31,10019115.969000002
svg other personal care,2018-06-04,282708.0,277224.0,1594549.7600000002,1527654.3820000007
skin care,2018-06-04,3281964.0,3130381.0,9892002.650000002,9354732.442
home care,2018-06-04,901254.0,867467.0,3702099.019999997,3532963.069999999
q-tips,2018-06-04,1677009.0,1605775.0,3996964.9000000004,3887621.6629999992
condiments,2018-06-04,5169527.0,4625163.0,18116244.72,16417874.05
ice cream,2018-06-11,23143282.0,22132925.0,56382760.56999998,54042487.864999965
svg other personal care,2018-06-11,362758.0,311761.0,1828022.4699999995,1645300.463
tea,2018-06-11,1991213.0,1905830.0,6337027.940000004,6126527.136000001
skin care,2018-06-11,3352872.0,3186230.0,9836095.209999997,9307985.197000002
q-tips,2018-06-11,1610858.0,1523034.0,4107355.58,4005237.1149999998
savoury,2018-06-11,11073681.0,9157509.0,9804911.64,9343621.874999994
personal wash,2018-06-11,10170551.0,8787042.0,41394581.23000001,36793556.252000004
other foods,2018-06-11,6576.0,6672.0,17915.79,17406.989999999998
ic-other,2018-06-11,918.0,1038.0,14179.449999999997,14179.449999999997
